timesec,time,cycle,sattrack,lat,lon,height,geoid,lakeid
513670161.610581,2016.277,3,34,38.911594,64.614206,284.395764419857,-36.4048030077,4610001882
516002962.711718,2016.35,4,34,38.936694,64.630111,240.966992917053,-36.3934703288,4610001882
516002962.760896,2016.35,4,34,38.933819,64.629184,240.895603269887,-36.3961921947,4610001882
516002962.810075,2016.35,4,34,38.930944,64.628257,241.026464519625,-36.3988649575,4610001882
516002963.006787,2016.35,4,34,38.919443,64.624548,226.934993214124,-36.4092354988,4610001882
516002963.055964,2016.35,4,34,38.916568,64.623621,227.163171216404,-36.4116955374,4610001882
516002963.105142,2016.35,4,34,38.913692,64.622694,227.855988750355,-36.4140949623,4610001882
516002963.154321,2016.35,4,34,38.910817,64.621767,228.619851988332,-36.4164402366,4610001882
516002963.2035,2016.35,4,34,38.907942,64.62084,229.329663034206,-36.4187333188,4610001882
516002963.252678,2016.35,4,34,38.905066,64.619913,240.859023445842,-36.4209756214,4610001882
516002963.301857,2016.35,4,34,38.902191,64.618986,241.089730207824,-36.4231644197,4610001882
516002963.351036,2016.35,4,34,38.899316,64.61806,241.073484865508,-36.4253011137,4610001882
516002963.400214,2016.35,4,34,38.89644,64.617133,241.091375843545,-36.4273739827,4610001882
516002963.449393,2016.35,4,34,38.893565,64.616207,241.141407133125,-36.4293873086,4610001882
516002963.498558,2016.35,4,34,38.890691,64.61528,241.217187240305,-36.4313495975,4610001882
518335762.274598,2016.424,5,34,38.947551,64.643634,241.364232580656,-36.3970424204,4610001882
518335762.323776,2016.424,5,34,38.944676,64.642707,241.396105803443,-36.3998353124,4610001882
518335762.372955,2016.424,5,34,38.941801,64.641779,241.315179452442,-36.4026286306,4610001882
518335762.422133,2016.424,5,34,38.938925,64.640852,241.239938433682,-36.4054072879,4610001882
518335762.471311,2016.424,5,34,38.93605,64.639925,241.267058913649,-36.4081474371,4610001882
518335762.520489,2016.424,5,34,38.933175,64.638997,241.146921092939,-36.4108292856,4610001882
518335762.569667,2016.424,5,34,38.9303,64.63807,241.056741970028,-36.4134698319,4610001882
518335762.618845,2016.424,5,34,38.927424,64.637143,241.00713701287,-36.4160845508,4610001882
518335762.668024,2016.424,5,34,38.924549,64.636216,241.25789427266,-36.4186614798,4610001882
518335762.717202,2016.424,5,34,38.921674,64.635289,241.166205422155,-36.4211922985,4610001882
518335762.766381,2016.424,5,34,38.918798,64.634362,241.050661649586,-36.423668202,4610001882
518335762.81556,2016.424,5,34,38.915923,64.633435,241.076450456864,-36.4260766785,4610001882
518335762.864738,2016.424,5,34,38.913048,64.632508,241.270279226567,-36.4284251174,4610001882
518335762.913917,2016.424,5,34,38.910172,64.631581,241.207456680308,-36.4307222472,4610001882
518335762.963096,2016.424,5,34,38.907297,64.630654,241.224182143685,-36.4329673798,4610001882
518335763.012274,2016.424,5,34,38.904421,64.629727,241.105459367499,-36.4351642795,4610001882
518335763.061453,2016.424,5,34,38.901546,64.628801,241.052588180048,-36.4373127606,4610001882
518335763.110631,2016.424,5,34,38.898671,64.627874,241.250465226721,-36.4394094758,4610001882
518335763.159809,2016.424,5,34,38.895795,64.626947,241.155881008734,-36.4414449332,4610001882
518335763.208975,2016.424,5,34,38.892921,64.626021,241.134240447215,-36.4434240334,4610001882
518335763.258153,2016.424,5,34,38.890045,64.625095,241.075556826635,-36.4453600882,4610001882
518335763.307331,2016.424,5,34,38.88717,64.624168,240.986535303096,-36.4472582332,4610001882
518335763.356509,2016.424,5,34,38.884295,64.623242,241.175789065363,-36.449131664,4610001882
518335763.405662,2016.424,5,34,38.881421,64.622316,241.141114205357,-36.4509764657,4610001882
518335763.454839,2016.424,5,34,38.878545,64.62139,240.97359083198,-36.4527727677,4610001882
518335763.504018,2016.424,5,34,38.87567,64.620464,240.939927393229,-36.4545289975,4610001882
520668564.181454,2016.498,6,34,38.945271,64.63849,240.916894997188,-36.3930675752,4610001882
520668564.279837,2016.498,6,34,38.939519,64.636635,240.745856831084,-36.3986687632,4610001882
520668564.329028,2016.498,6,34,38.936643,64.635707,240.824697223605,-36.4014288328,4610001882
520668564.378219,2016.498,6,34,38.933767,64.63478,241.209985622331,-36.4041369086,4610001882
520668564.42741,2016.498,6,34,38.930891,64.633852,241.002421530074,-36.4067924934,4610001882
520668564.476601,2016.498,6,34,38.928015,64.632925,240.875533464808,-36.4094241052,4610001882
520668564.525792,2016.498,6,34,38.925139,64.631998,240.785713023728,-36.4120233412,4610001882
520668564.574982,2016.498,6,34,38.922264,64.631071,240.720449306407,-36.4145792941,4610001882
520668564.624173,2016.498,6,34,38.919388,64.630144,240.976334609953,-36.4170842747,4610001882
520668564.673364,2016.498,6,34,38.916512,64.629217,241.044556897779,-36.4195262396,4610001882
520668564.722555,2016.498,6,34,38.913636,64.62829,240.924117958925,-36.4219069778,4610001882
520668564.771745,2016.498,6,34,38.91076,64.627363,240.833326072356,-36.4242347683,4610001882
520668564.820936,2016.498,6,34,38.907884,64.626436,240.756382587678,-36.4265109607,4610001882
520668564.968509,2016.498,6,34,38.899256,64.623655,240.981348382669,-36.4330357869,4610001882
520668565.017699,2016.498,6,34,38.89638,64.622729,240.876591886097,-36.435098967,4610001882
520668565.066891,2016.498,6,34,38.893504,64.621802,240.791975419121,-36.4371021761,4610001882
520668565.116082,2016.498,6,34,38.890628,64.620876,240.738811518071,-36.4390579511,4610001882
520668565.165273,2016.498,6,34,38.887752,64.619949,240.996506931933,-36.440973041,4610001882
520668565.214464,2016.498,6,34,38.884876,64.619023,241.050573439842,-36.442859225,4610001882
523001362.93618,2016.572,7,34,38.943757,64.640262,240.669230292353,-36.3977196408,4610001882
523001362.985384,2016.572,7,34,38.940881,64.639334,240.747696472504,-36.4005169477,4610001882
523001363.034575,2016.572,7,34,38.938005,64.638407,240.694212671618,-36.4032919303,4610001882
523001363.08379,2016.572,7,34,38.935128,64.637479,240.544173551381,-36.4060232837,4610001882
523001363.132993,2016.572,7,34,38.932251,64.636552,240.534176249064,-36.408696455,4610001882
523001363.182197,2016.572,7,34,38.929375,64.635625,240.427945685858,-36.4113363757,4610001882
523001363.2314,2016.572,7,34,38.926498,64.634698,240.680586419532,-36.413947583,4610001882
523001363.280604,2016.572,7,34,38.923622,64.63377,240.511784681041,-36.4165163284,4610001882
523001363.32982,2016.572,7,34,38.920744,64.632843,240.416537578771,-36.4190396895,4610001882
523001363.379024,2016.572,7,34,38.917868,64.631916,240.704830012756,-36.4215026074,4610001882
523001363.428227,2016.572,7,34,38.914991,64.630989,240.708258953634,-36.4239020219,4610001882
523001363.477431,2016.572,7,34,38.912115,64.630062,240.697331336243,-36.4262448884,4610001882
523001363.526634,2016.572,7,34,38.909238,64.629135,240.702752899905,-36.4285369257,4610001882
523001363.575838,2016.572,7,34,38.906361,64.628208,240.576823747287,-36.4307782467,4610001882
523001363.625041,2016.572,7,34,38.903485,64.627281,240.687143596686,-36.43296858,4610001882
523001363.674245,2016.572,7,34,38.900608,64.626354,240.720515316943,-36.4351107739,4610001882
523001363.723449,2016.572,7,34,38.897731,64.625428,240.555533114612,-36.4371990452,4610001882
523001363.772652,2016.572,7,34,38.894855,64.624501,240.752485946115,-36.4392223606,4610001882
523001363.821856,2016.572,7,34,38.891978,64.623575,240.902988526985,-36.4411954151,4610001882
523001363.871059,2016.572,7,34,38.889102,64.622648,240.721945765395,-36.4431231374,4610001882
523001363.920263,2016.572,7,34,38.886225,64.621722,240.626172051342,-36.445019897,4610001882
523001363.969467,2016.572,7,34,38.883348,64.620795,240.583572694113,-36.4468910134,4610001882
523001364.018672,2016.572,7,34,38.880471,64.619869,240.492126793862,-36.4487249261,4610001882
